measure_name,datum,state_id,state_name
"% change in abortion rate, 2017-2020",-6,AL,Alabama
"% change in abortion rate, 2017-2020",0,AK,Alaska
"% change in abortion rate, 2017-2020",1,AZ,Arizona
"% change in abortion rate, 2017-2020",2,AR,Arkansas
"% change in abortion rate, 2017-2020",17,CA,California
"% change in abortion rate, 2017-2020",3,CO,Colorado
"% change in abortion rate, 2017-2020",-6,CT,Connecticut
"% change in abortion rate, 2017-2020",-5,DE,Delaware
"% change in abortion rate, 2017-2020",62,DC,District of Columbia
"% change in abortion rate, 2017-2020",6,FL,Florida
"% change in abortion rate, 2017-2020",12,GA,Georgia
"% change in abortion rate, 2017-2020",1,HI,Hawaii
"% change in abortion rate, 2017-2020",23,ID,Idaho
"% change in abortion rate, 2017-2020",28,IL,Illinois
"% change in abortion rate, 2017-2020",2,IN,Indiana
"% change in abortion rate, 2017-2020",-6,IA,Iowa
"% change in abortion rate, 2017-2020",19,KS,Kansas
"% change in abortion rate, 2017-2020",26,KY,Kentucky
"% change in abortion rate, 2017-2020",-25,LA,Louisiana
"% change in abortion rate, 2017-2020",15,ME,Maine
"% change in abortion rate, 2017-2020",4,MD,Maryland
"% change in abortion rate, 2017-2020",-10,MA,Massachusetts
"% change in abortion rate, 2017-2020",18,MI,Michigan
"% change in abortion rate, 2017-2020",1,MN,Minnesota
"% change in abortion rate, 2017-2020",42,MS,Mississippi
"% change in abortion rate, 2017-2020",-98,MO,Missouri
"% change in abortion rate, 2017-2020",-1,MT,Montana
"% change in abortion rate, 2017-2020",7,NE,Nebraska
"% change in abortion rate, 2017-2020",9,NV,Nevada
"% change in abortion rate, 2017-2020",-10,NH,New Hampshire
"% change in abortion rate, 2017-2020",4,NJ,New Jersey
"% change in abortion rate, 2017-2020",26,NM,New Mexico
"% change in abortion rate, 2017-2020",10,NY,New York
"% change in abortion rate, 2017-2020",5,NC,North Carolina
"% change in abortion rate, 2017-2020",-1,ND,North Dakota
"% change in abortion rate, 2017-2020",1,OH,Ohio
"% change in abortion rate, 2017-2020",100,OK,Oklahoma
"% change in abortion rate, 2017-2020",-13,OR,Oregon
"% change in abortion rate, 2017-2020",4,PA,Pennsylvania
"% change in abortion rate, 2017-2020",-20,RI,Rhode Island
"% change in abortion rate, 2017-2020",0,SC,South Carolina
"% change in abortion rate, 2017-2020",-74,SD,South Dakota
"% change in abortion rate, 2017-2020",-12,TN,Tennessee
"% change in abortion rate, 2017-2020",1,TX,Texas
"% change in abortion rate, 2017-2020",0,UT,Utah
"% change in abortion rate, 2017-2020",-6,VT,Vermont
"% change in abortion rate, 2017-2020",8,VA,Virginia
"% change in abortion rate, 2017-2020",-3,WA,Washington
"% change in abortion rate, 2017-2020",-30,WV,West Virginia
"% change in abortion rate, 2017-2020",8,WI,Wisconsin
"% change in abortion rate, 2017-2020",-31,WY,Wyoming
"% of all U.S. abortions, by state of occurrence",0.6,AL,Alabama
"% of all U.S. abortions, by state of occurrence",0.1,AK,Alaska
"% of all U.S. abortions, by state of occurrence",1.4,AZ,Arizona
"% of all U.S. abortions, by state of occurrence",0.3,AR,Arkansas
"% of all U.S. abortions, by state of occurrence",16.6,CA,California
"% of all U.S. abortions, by state of occurrence",1.4,CO,Colorado
"% of all U.S. abortions, by state of occurrence",1.2,CT,Connecticut
